Лаб. № пробы,Наименование выработки,"Глубина отбора образца, м",Наименование грунта,№ ИГЭ/РГЭ,rs,r,rd,n,e,W,Sr,WL,WP,Ip,IL,Ir,Е50,E,Мю,Cu,Цикл промораживания,Kd,Cud
19-26,19,21.6,Супесь твёрдая,58д_4,2.69,1.96,1.53,43.2,0.76,28.0,0.99,28.4,23.2,5.2,0.92,,,,,,0,,
19-26,19,21.6,Супесь твёрдая,58д_4,,,,,,,,,,,,,,,,,3,,
19-26,19,21.6,Супесь твёрдая,58д_4,,,,,,,,,,,,,,,,,5,,
19-26,19,21.6,Супесь твёрдая,58д_4,,,,,,,,,,,,,,,,,10,,
19-26,19,21.6,Супесь твёрдая,58д_4,,,,,,,,,,,,,,,,,24,,
19-27,19,0.8,Глина твёрдая с примесью органического вещества,1a_t,2.68,1.88,1.42,47.1,0.89,32.5,0.98,50.9,30.5,20.4,0.1,8.6,,,,,0,,
19-27,19,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,3,,
19-27,19,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,5,,
19-27,19,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,10,,
19-27,19,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,24,,
19-3,19,4.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
19-3,19,4.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-3,19,4.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-3,19,4.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-3,19,4.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
19-4,19,5.8,Глина полутвёрдая,25_1,2.71,1.85,1.38,49.2,0.97,34.7,0.97,59.7,33.4,26.3,0.05,,,,,,0,0.83,0.03
19-4,19,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,0.83,0.03
19-4,19,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,0.83,0.03
19-4,19,5.8,Глина полутвёрдая,25_1,2.71,1.76,1.23,54.6,1.2,43.1,0.97,59.7,33.4,26.3,0.37,,,,,,10,0.83,0.03
19-4,19,5.8,Глина полутвёрдая,25_1,2.71,1.76,1.22,55.0,1.22,44.4,0.98,59.7,33.4,26.3,0.42,,,,,,24,0.83,0.03
19-5,19,7.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
19-5,19,7.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-5,19,7.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-5,19,7.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-5,19,7.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
19-6,19,8.8,Глина полутвёрдая,25_1,2.69,1.9,1.45,46.3,0.86,31.7,0.99,54.2,28.1,26.1,0.14,,,,,,0,,
19-6,19,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-6,19,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-6,19,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-6,19,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
19-7,19,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
19-7,19,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-7,19,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-7,19,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-7,19,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
19-8,19,10.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
19-8,19,10.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-8,19,10.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-8,19,10.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-8,19,10.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
19-9,19,11.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
19-9,19,11.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
19-9,19,11.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
19-9,19,11.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
19-9,19,11.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
2-1,2,0.4,Суглинок твёрдый с примесью органического вещества,1a_t,2.68,2.0,1.61,40.0,0.67,24.1,0.97,34.5,23.3,11.2,0.07,6.4,12.0,12.0,0.28,0.057,0,0.78,0.019
2-1,2,0.4,Суглинок твёрдый с примесью органического вещества,1a_t,2.68,1.94,1.51,43.6,0.77,28.4,0.98,34.5,23.3,11.2,0.46,6.4,8.1,8.9,0.36,0.045,3,0.78,0.019
2-1,2,0.4,Суглинок твёрдый с примесью органического вещества,1a_t,2.68,1.91,1.45,45.8,0.85,31.5,1.0,34.5,23.3,11.2,0.73,6.4,3.7,4.3,0.39,0.028,5,0.78,0.019
2-1,2,0.4,Суглинок твёрдый с примесью органического вещества,1a_t,2.68,1.86,1.4,47.9,0.92,33.2,0.97,34.5,23.3,11.2,0.88,6.4,3.7,4.1,0.46,0.028,10,0.78,0.019
2-1,2,0.4,Суглинок твёрдый с примесью органического вещества,1a_t,2.68,1.87,1.4,47.8,0.92,33.7,0.98,34.5,23.3,11.2,0.92,6.4,2.5,2.6,0.44,0.024,24,0.78,0.019
2-10,2,12.8,Глина твёрдая,58_3а,2.72,1.95,1.51,44.4,0.8,28.7,0.98,51.3,27.7,23.6,0.04,,,,,,0,0.71,0.02
2-10,2,12.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,0.71,0.02
2-10,2,12.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,0.71,0.02
2-10,2,12.8,Глина твёрдая,58_3а,2.72,1.8,1.28,52.8,1.12,40.3,0.98,51.3,27.7,23.6,0.53,,,,,,10,0.71,0.02
2-10,2,12.8,Глина твёрдая,58_3а,2.72,1.79,1.27,53.4,1.14,41.3,0.98,51.3,27.7,23.6,0.57,,,,,,24,0.71,0.02
2-11,2,20.4,Глина твёрдая,58_3б,2.77,1.9,1.44,48.2,0.93,32.5,0.97,56.5,33.1,23.4,-0.02,,,,,,0,,
2-11,2,20.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
2-11,2,20.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
2-11,2,20.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
2-11,2,20.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
2-12,2,24.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,0,,
2-12,2,24.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
2-12,2,24.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
2-12,2,24.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
2-12,2,24.8,Глина полутвёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
2-13,2,30.4,Суглинок твёрдый,58г_2а,2.72,2.06,1.69,37.9,0.61,22.2,0.99,38.4,22.0,16.4,0.01,,20.6,20.6,0.33,0.125,0,0.67,0.01
2-13,2,30.4,Суглинок твёрдый,58г_2а,2.72,1.99,1.58,41.9,0.72,26.0,0.98,38.4,22.0,16.4,0.24,,17.3,18.5,0.33,0.088,3,0.67,0.01
2-13,2,30.4,Суглинок твёрдый,58г_2а,2.72,1.94,1.5,44.7,0.81,29.0,0.98,38.4,22.0,16.4,0.43,,4.4,4.6,0.36,0.021,5,0.67,0.01
2-13,2,30.4,Суглинок твёрдый,58г_2а,2.72,1.87,1.39,49.0,0.96,34.7,0.98,38.4,22.0,16.4,0.77,,4.4,4.7,0.41,0.021,10,0.67,0.01
2-13,2,30.4,Суглинок твёрдый,58г_2а,2.72,1.87,1.39,48.9,0.96,34.4,0.98,38.4,22.0,16.4,0.76,,4.9,4.9,0.4,0.019,24,0.67,0.01
2-14,2,30.8,Глина твёрдая,58_3в,2.74,2.07,1.68,38.7,0.63,23.0,1.0,52.8,29.4,23.4,-0.27,,,,,,0,0.88,0.016
2-14,2,30.8,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,3,0.88,0.016
2-14,2,30.8,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,5,0.88,0.016
2-14,2,30.8,Глина твёрдая,58_3в,2.74,1.82,1.32,51.9,1.08,38.2,0.97,52.8,29.4,23.4,0.38,,,,,,10,0.88,0.016
2-14,2,30.8,Глина твёрдая,58_3в,2.74,1.83,1.32,51.8,1.07,38.9,0.99,52.8,29.4,23.4,0.4,,,,,,24,0.88,0.016
2-15,2,31.4,Суглинок текучепластичный,58д_2е,2.73,1.92,1.46,46.7,0.88,31.8,0.99,30.5,18.7,11.8,1.11,,,,,,0,,
2-15,2,31.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-15,2,31.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-15,2,31.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-15,2,31.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-16,2,31.8,Суглинок текучепластичный,58д_2е,2.73,1.89,1.42,48.0,0.92,33.1,0.98,30.3,20.0,10.3,1.27,,,,,,0,,
2-16,2,31.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-16,2,31.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-16,2,31.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-16,2,31.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-17,2,33.4,Суглинок твёрдый,58г_2а,2.72,2.09,1.73,36.6,0.58,21.2,1.0,29.1,20.6,8.5,0.07,,,,,,0,,
2-17,2,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,3,,
2-17,2,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,5,,
2-17,2,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,10,,
2-17,2,33.4,Суглинок твёрдый,58г_2а,,,,,,,,,,,,,,,,,24,,
2-18,2,8.4,Суглинок тугопластичный,58г_2г.д,2.71,2.0,1.6,40.9,0.69,24.8,0.97,33.9,19.7,14.2,0.36,,14.8,14.8,0.34,0.052,0,0.85,0.014
2-18,2,8.4,Суглинок тугопластичный,58г_2г.д,2.71,1.97,1.54,43.0,0.76,27.6,0.99,33.9,19.7,14.2,0.56,,11.1,12.0,0.36,0.042,3,0.85,0.014
2-18,2,8.4,Суглинок тугопластичный,58г_2г.д,2.71,1.93,1.49,45.0,0.82,29.6,0.98,33.9,19.7,14.2,0.7,,4.4,4.9,0.37,0.017,5,0.85,0.014
2-18,2,8.4,Суглинок тугопластичный,58г_2г.д,2.71,1.91,1.47,45.9,0.85,30.2,0.97,33.9,19.7,14.2,0.74,,4.5,4.6,0.38,0.018,10,0.85,0.014
2-18,2,8.4,Суглинок тугопластичный,58г_2г.д,2.71,1.92,1.47,45.7,0.84,30.4,0.98,33.9,19.7,14.2,0.76,,3.8,4.1,0.47,0.013,24,0.85,0.014
2-19,2,9.8,Глина тугопластичная,58_3г,2.74,1.84,1.34,51.2,1.05,37.6,0.98,50.2,28.1,22.1,0.43,,,,,,0,,
2-19,2,9.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,3,,
2-19,2,9.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,5,,
2-19,2,9.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,10,,
2-19,2,9.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,24,,
2-2,2,0.8,Суглинок щебенистый твёрдый,1a_t,,,,,,,,,,,,,,,,,0,,
2-2,2,0.8,Суглинок щебенистый твёрдый,1a_t,,,,,,,,,,,,,,,,,3,,
2-2,2,0.8,Суглинок щебенистый твёрдый,1a_t,,,,,,,,,,,,,,,,,5,,
2-2,2,0.8,Суглинок щебенистый твёрдый,1a_t,,,,,,,,,,,,,,,,,10,,
2-2,2,0.8,Суглинок щебенистый твёрдый,1a_t,,,,,,,,,,,,,,,,,24,,
2-20,2,12.4,Глина тугопластичная,58_3г,2.74,1.84,1.34,50.9,1.04,37.1,0.98,51.8,29.5,22.3,0.34,,,,,,0,,
2-20,2,12.4,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,3,,
2-20,2,12.4,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,5,,
2-20,2,12.4,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,10,,
2-20,2,12.4,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,24,,
2-21,2,13.4,Глина тугопластичная,58_3г,2.75,1.87,1.36,50.4,1.02,36.9,1.0,48.8,29.6,19.2,0.38,,10.3,10.3,0.41,0.05,0,0.8,0.019
2-21,2,13.4,Глина тугопластичная,58_3г,2.75,1.82,1.31,52.5,1.1,39.3,0.98,48.8,29.6,19.2,0.51,,7.1,7.7,0.39,0.038,3,0.8,0.019
2-21,2,13.4,Глина тугопластичная,58_3г,2.75,1.82,1.3,52.7,1.11,39.8,0.98,48.8,29.6,19.2,0.53,,4.2,4.3,0.37,0.024,5,0.8,0.019
2-21,2,13.4,Глина тугопластичная,58_3г,2.75,1.8,1.27,53.9,1.17,42.0,0.99,48.8,29.6,19.2,0.65,,4.1,4.3,0.43,0.026,10,0.8,0.019
2-21,2,13.4,Глина тугопластичная,58_3г,2.75,1.8,1.26,54.1,1.18,42.3,0.99,48.8,29.6,19.2,0.66,,3.7,4.0,0.35,0.027,24,0.8,0.019
2-22,2,14.4,Глина тугопластичная,58_3г,2.74,1.87,1.39,49.3,0.97,34.4,0.97,47.3,28.7,18.6,0.31,,12.3,12.3,0.35,0.054,0,0.85,0.016
2-22,2,14.4,Глина тугопластичная,58_3г,2.74,1.86,1.36,50.3,1.01,36.5,0.99,47.3,28.7,18.6,0.42,,8.3,9.9,0.35,0.042,3,0.85,0.016
2-22,2,14.4,Глина тугопластичная,58_3г,2.74,1.85,1.36,50.4,1.01,36.0,0.97,47.3,28.7,18.6,0.39,,5.3,6.3,0.41,0.034,5,0.85,0.016
2-22,2,14.4,Глина тугопластичная,58_3г,2.74,1.82,1.32,51.8,1.08,37.9,0.97,47.3,28.7,18.6,0.49,,5.2,5.9,0.37,0.034,10,0.85,0.016
2-22,2,14.4,Глина тугопластичная,58_3г,2.74,1.85,1.35,50.8,1.03,37.4,0.99,47.3,28.7,18.6,0.47,,5.8,5.9,0.36,0.03,24,0.85,0.016
2-23,2,11.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
2-23,2,11.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-23,2,11.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-23,2,11.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-23,2,11.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-24,2,13.8,Суглинок мягкопластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
2-24,2,13.8,Суглинок мягкопластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-24,2,13.8,Суглинок мягкопластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-24,2,13.8,Суглинок мягкопластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-24,2,13.8,Суглинок мягкопластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-25,2,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
2-25,2,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-25,2,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-25,2,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-25,2,14.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-26,2,17.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
2-26,2,17.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
2-26,2,17.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
2-26,2,17.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
2-26,2,17.4,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
2-3,2,1.4,Суглинок тугопластичный с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,0,,
2-3,2,1.4,Суглинок тугопластичный с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,3,,
2-3,2,1.4,Суглинок тугопластичный с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,5,,
2-3,2,1.4,Суглинок тугопластичный с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,10,,
2-3,2,1.4,Суглинок тугопластичный с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,24,,
2-4,2,1.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
2-4,2,1.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
2-4,2,1.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
2-4,2,1.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
2-4,2,1.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
2-5,2,3.8,Глина полутвёрдая,25_1,2.71,1.98,1.56,42.3,0.73,26.7,0.99,47.5,25.9,21.6,0.04,,,,,,0,0.9,0.03
2-5,2,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,0.9,0.03
2-5,2,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,0.9,0.03
2-5,2,3.8,Глина полутвёрдая,25_1,2.71,1.89,1.42,47.7,0.91,33.3,0.99,47.5,25.9,21.6,0.34,,,,,,10,0.9,0.03
2-5,2,3.8,Глина полутвёрдая,25_1,2.71,1.88,1.41,48.0,0.92,33.4,0.98,47.5,25.9,21.6,0.35,,,,,,24,0.9,0.03
2-6,2,5.4,Глина полутвёрдая,58_3б.1,2.75,1.88,1.39,49.5,0.98,35.6,1.0,55.8,32.1,23.7,0.15,,15.3,15.3,0.35,0.068,0,0.72,0.02
2-6,2,5.4,Глина полутвёрдая,58_3б.1,2.75,1.82,1.32,52.1,1.09,38.2,0.97,55.8,32.1,23.7,0.26,,11.8,12.4,0.42,0.057,3,0.72,0.02
2-6,2,5.4,Глина полутвёрдая,58_3б.1,2.75,1.82,1.29,53.0,1.13,40.7,0.99,55.8,32.1,23.7,0.36,,7.2,7.9,0.38,0.034,5,0.72,0.02
2-6,2,5.4,Глина полутвёрдая,58_3б.1,2.75,1.8,1.27,53.8,1.16,41.7,0.98,55.8,32.1,23.7,0.41,,7.3,7.6,0.35,0.036,10,0.72,0.02
2-6,2,5.4,Глина полутвёрдая,58_3б.1,2.75,1.79,1.26,54.1,1.18,42.2,0.98,55.8,32.1,23.7,0.43,,7.5,8.3,0.35,0.028,24,0.72,0.02
2-7,2,7.4,Глина твёрдая,58_3а,2.72,1.95,1.51,44.4,0.8,29.1,0.99,57.4,33.5,23.9,-0.19,,20.1,20.1,0.23,0.132,0,,
2-7,2,7.4,Глина твёрдая,58_3а,2.72,1.86,1.37,49.6,0.98,35.6,0.99,57.4,33.5,23.9,0.09,,18.6,19.6,0.3,0.086,3,,
2-7,2,7.4,Глина твёрдая,58_3а,2.72,1.8,1.28,52.8,1.12,40.3,0.98,57.4,33.5,23.9,0.28,,7.8,8.2,0.39,0.041,5,,
2-7,2,7.4,Глина твёрдая,58_3а,2.72,1.78,1.24,54.3,1.19,43.3,0.99,57.4,33.5,23.9,0.41,,7.7,7.9,0.37,0.041,10,,
2-7,2,7.4,Глина твёрдая,58_3а,2.72,1.77,1.23,54.7,1.21,44.0,0.99,57.4,33.5,23.9,0.44,,7.1,7.7,0.38,0.026,24,,
2-8,2,8.8,Глина тугопластичная,58_3г,2.73,1.84,1.33,51.3,1.05,38.5,1.0,50.5,27.7,22.8,0.48,,7.8,7.8,0.36,0.039,0,0.84,0.014
2-8,2,8.8,Глина тугопластичная,58_3г,2.73,1.82,1.31,52.0,1.08,38.8,0.98,50.5,27.7,22.8,0.49,,8.2,9.1,0.42,0.04,3,0.84,0.014
2-8,2,8.8,Глина тугопластичная,58_3г,2.73,1.81,1.3,52.4,1.1,39.2,0.97,50.5,27.7,22.8,0.5,,5.5,5.7,0.39,0.027,5,0.84,0.014
2-8,2,8.8,Глина тугопластичная,58_3г,2.73,1.82,1.3,52.4,1.1,40.1,0.99,50.5,27.7,22.8,0.54,,5.6,5.7,0.43,0.027,10,0.84,0.014
2-8,2,8.8,Глина тугопластичная,58_3г,2.73,1.81,1.29,52.6,1.11,39.7,0.98,50.5,27.7,22.8,0.53,,5.8,6.2,0.37,0.03,24,0.84,0.014
2-9,2,10.8,Суглинок полутвёрдый,58г_2б,2.73,2.0,1.58,42.2,0.73,26.5,0.99,37.5,23.4,14.1,0.22,,17.8,17.8,0.3,0.078,0,,
2-9,2,10.8,Суглинок полутвёрдый,58г_2б,2.73,1.91,1.45,47.0,0.89,31.9,0.98,37.5,23.4,14.1,0.6,,7.9,9.4,0.37,0.044,3,,
2-9,2,10.8,Суглинок полутвёрдый,58г_2б,2.73,1.91,1.44,47.2,0.9,32.6,0.99,37.5,23.4,14.1,0.65,,3.7,3.9,0.38,0.018,5,,
2-9,2,10.8,Суглинок полутвёрдый,58г_2б,2.73,1.87,1.39,49.1,0.97,34.6,0.98,37.5,23.4,14.1,0.79,,3.7,4.1,0.43,0.016,10,,
2-9,2,10.8,Суглинок полутвёрдый,58г_2б,2.73,1.87,1.37,49.7,0.99,35.9,0.99,37.5,23.4,14.1,0.89,,2.7,2.9,0.41,0.008,24,,
20-1,20,0.4,Глина твёрдая с примесью органического вещества,1a_t,2.71,1.87,1.39,48.8,0.95,34.5,0.98,50.3,26.9,23.4,0.32,7.1,9.5,9.5,0.39,0.04,0,0.73,0.016
20-1,20,0.4,Глина твёрдая с примесью органического вещества,1a_t,2.71,1.81,1.3,51.9,1.08,39.0,0.98,50.3,26.9,23.4,0.52,7.1,6.3,6.7,0.36,0.032,3,0.73,0.016
20-1,20,0.4,Глина твёрдая с примесью органического вещества,1a_t,2.71,1.8,1.28,52.7,1.11,40.3,0.98,50.3,26.9,23.4,0.57,7.1,4.2,4.5,0.4,0.018,5,0.73,0.016
20-1,20,0.4,Глина твёрдая с примесью органического вещества,1a_t,2.71,1.76,1.23,54.5,1.2,42.8,0.97,50.3,26.9,23.4,0.68,7.1,4.4,4.9,0.35,0.018,10,0.73,0.016
20-1,20,0.4,Глина твёрдая с примесью органического вещества,1a_t,2.71,1.77,1.23,54.6,1.2,44.1,0.99,50.3,26.9,23.4,0.74,7.1,3.6,3.8,0.41,0.02,24,0.73,0.016
20-10,20,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
20-10,20,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
20-10,20,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
20-10,20,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
20-10,20,13.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
20-11,20,15.8,Глина тугопластичная,58_3г,2.7,1.83,1.32,51.0,1.04,38.1,0.99,49.1,26.5,22.6,0.51,,,,,,0,,
20-11,20,15.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,3,,
20-11,20,15.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,5,,
20-11,20,15.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,10,,
20-11,20,15.8,Глина тугопластичная,58_3г,,,,,,,,,,,,,,,,,24,,
20-12,20,19.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
20-12,20,19.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
20-12,20,19.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
20-12,20,19.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
20-12,20,19.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
20-13,20,22.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
20-13,20,22.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
20-13,20,22.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
20-13,20,22.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
20-13,20,22.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
20-14,20,26.4,Глина твёрдая,58_3в,2.73,2.04,1.65,39.7,0.66,23.6,0.98,46.7,27.1,19.6,-0.18,,,,,,0,0.74,0.015
20-14,20,26.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,3,0.74,0.015
20-14,20,26.4,Глина твёрдая,58_3в,,,,,,,,,,,,,,,,,5,0.74,0.015
20-14,20,26.4,Глина твёрдая,58_3в,2.73,1.83,1.34,50.9,1.04,36.6,0.96,46.7,27.1,19.6,0.48,,,,,,10,0.74,0.015
20-14,20,26.4,Глина твёрдая,58_3в,2.73,1.83,1.32,51.5,1.06,38.4,0.99,46.7,27.1,19.6,0.58,,,,,,24,0.74,0.015
20-15,20,28.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
20-15,20,28.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
20-15,20,28.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
20-15,20,28.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
20-15,20,28.4,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
20-16,20,13.8,Глина полутвёрдая,58_3б.1,2.72,1.86,1.36,49.9,0.99,36.5,1.0,56.6,31.5,25.1,0.2,,,,,,0,,
20-16,20,13.8,Глина полутвёрдая,58_3б.1,,,,,,,,,,,,,,,,,3,,
20-16,20,13.8,Глина полутвёрдая,58_3б.1,,,,,,,,,,,,,,,,,5,,
20-16,20,13.8,Глина полутвёрдая,58_3б.1,,,,,,,,,,,,,,,,,10,,
20-16,20,13.8,Глина полутвёрдая,58_3б.1,,,,,,,,,,,,,,,,,24,,
20-2,20,1.8,Суглинок полутвёрдый,21а_1с,2.74,2.02,1.62,40.8,0.69,24.7,0.98,37.3,21.9,15.4,0.18,,,,,,0,0.73,0.011
20-2,20,1.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,0.73,0.011
20-2,20,1.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,0.73,0.011
20-2,20,1.8,Суглинок полутвёрдый,21а_1с,2.74,1.87,1.39,49.3,0.97,34.5,0.97,37.3,21.9,15.4,0.82,,,,,,10,0.73,0.011
